Class_20.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
DataInputStream,java.io.DataInputStream,java.io.DataInputStream,1,java.io.DataInputStream,java.io.DataInputStream,1,1
DataInputStream,java.io.DataInputStream,java.io.DataInputStream,1,java.io.DataInputStream,java.io.DataInputStream,1,1
BufferedInputStream,java.io.BufferedInputStream,java.io.BufferedInputStream,1,java.io.BufferedInputStream,java.io.BufferedInputStream,1,1
DataOutputStream,java.io.DataOutputStream,java.io.DataOutputStream,1,java.io.DataOutputStream,java.io.DataOutputStream,1,1
DataOutputStream,java.io.DataOutputStream,java.io.DataOutputStream,1,java.io.DataOutputStream,java.io.DataOutputStream,1,1
BufferedOutputStream,java.io.BufferedOutputStream,java.io.BufferedOutputStream,1,java.io.BufferedOutputStream,java.io.BufferedOutputStream,1,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1,java.util.ArrayList,java.util.ArrayList,1,1
File,java.io.File,java.io.File,1,java.io.File,java.io.File,1,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1,java.util.ArrayList,java.util.ArrayList,1,1
File,java.io.File,java.io.File,1,java.io.File,java.io.File,1,1
FileOutputStream,java.io.FileOutputStream,java.io.FileOutputStream,1,java.io.FileOutputStream,java.io.FileOutputStream,1,1
FileOutputStream,java.io.FileOutputStream,java.io.FileOutputStream,1,java.io.FileOutputStream,java.io.FileOutputStream,1,1
IOException,java.io.IOException,java.io.IOException,1,java.io.IOException,java.io.IOException,1,1
FileInputStream,java.io.FileInputStream,java.io.FileInputStream,1,java.io.FileInputStream,java.io.FileInputStream,1,1
FileInputStream,java.io.FileInputStream,java.io.FileInputStream,1,java.io.FileInputStream,java.io.FileInputStream,1,1
dl_correct:15,dl_precision:1.0,,rule_correct:15,rule_checked:15,rule_precision:1.0,rule_recall:1.0
checked:15,total correct:15,total precision:1.0
